group,session,date,end_date,title,flag,deadline,content,lesson,example,assignment,note
Foundations,Session 1,2026-06-08,2026-06-12,"Truth, beauty, and data + R and tidyverse",,,content/01-content,lesson/01-lesson,example/01-example,assignment/01-exercise,
Foundations,Session 2,2026-06-08,2026-06-12,Graphic design,,,content/02-content,lesson/02-lesson,example/02-example,assignment/02-exercise,
Foundations,,2026-06-15,,Assignments for sessions 1 and 2 due,,11:59 PM,,,,,
Foundations,Session 3,2026-06-15,2026-06-18,Mapping data to graphics,,,content/03-content,lesson/03-lesson,example/03-example,assignment/03-exercise,
Core types of graphics,Session 4,2026-06-15,2026-06-18,Amounts and proportions,,,content/04-content,lesson/04-lesson,example/04-example,assignment/04-exercise,
Core types of graphics,,2026-06-22,,Assignments for sessions 3 and 4 due,,11:59 PM,,,,,
Core types of graphics,Session 5,2026-06-22,2026-06-26,Themes,,,content/05-content,lesson/05-lesson,example/05-example,assignment/05-exercise,
Core types of graphics,Session 6,2026-06-22,2026-06-26,Uncertainty,,,content/06-content,lesson/06-lesson,example/06-example,assignment/06-exercise,
Core types of graphics,,2026-06-29,,Assignments for sessions 5 and 6 due,,11:59 PM,,,,,
Core types of graphics,,2026-06-29,,Mini project 1 due,TRUE,11:59 PM,,,,assignment/01-mini-project,
Core types of graphics,Session 7,2026-06-29,2026-07-03,Relationships,,,content/07-content,lesson/07-lesson,example/07-example,assignment/07-exercise,
Core types of graphics,Session 8,2026-06-29,2026-07-03,Comparisons,,,content/08-content,lesson/08-lesson,example/08-example,assignment/08-exercise,
Core types of graphics,,2026-07-06,,Assignments for sessions 7 and 8 due,,11:59 PM,,,,,
Core types of graphics,Session 9,2026-07-06,2026-07-10,Annotations,,,content/09-content,lesson/09-lesson,example/09-example,assignment/09-exercise,
Core types of graphics,Session 10,2026-07-06,2026-07-10,Enhancing graphics,,,content/10-content,lesson/10-lesson,example/10-example,assignment/10-exercise,
Core types of graphics,,2026-07-13,,Assignments for sessions 9 and 10 due,,11:59 PM,,,,,
Core types of graphics,,2026-07-13,,Mini project 2 due,TRUE,11:59 PM,,,,assignment/02-mini-project,
Special applications (choose just one!),Session 11,2026-07-13,2026-07-17,Interactivity,,,content/11-content,lesson/11-lesson,example/11-example,assignment/11-exercise,
Special applications (choose just one!),Session 12,2026-07-13,2026-07-17,Space,,,content/12-content,lesson/12-lesson,example/12-example,assignment/12-exercise,
Special applications (choose just one!),Session 13,2026-07-13,2026-07-17,Time,,,content/13-content,lesson/13-lesson,example/13-example,assignment/13-exercise,
Special applications (choose just one!),Session 14,2026-07-13,2026-07-17,Text,,,content/14-content,lesson/14-lesson,example/14-example,assignment/14-exercise,
Special applications (choose just one!),,2026-07-20,,"Assignments for sessions 11, 12, 13 ***or*** 14 due",,11:59 PM,,,,,
Conclusions,Session 15,2026-07-20,2026-07-21,"Truth, beauty, and data revisited",,,content/15-content,lesson/15-lesson,example/15-example,assignment/15-exercise,
Conclusions,,2026-07-21,,Assignment for session 15 due,,11:59 PM,,,,,
Conclusions,,2026-07-26,,Final project due,TRUE,11:59 PM,,,,assignment/final-project,
